,word_root,polarity
303,곱실,-1.5
304,곱절,3
305,곱질,-1.5
306,공갈,-1.5
307,공개적,-3
308,공격,-3
309,공경,3
310,공공연히,-1.5
311,공교,-1.5
312,공기,3
313,공덕,3
314,공로,1.5
315,공범자,-1.5
316,공손,3
317,공손히,3
318,공연,-1.5
319,공연히,-1.5
320,공익,3
321,공적,0
322,공정,3
323,공평,1.5
324,공포,-3
3621,공포감,-3
325,공포증,-3
326,공허,-1.5
327,공황,-1.5
328,과거,0
329,과격,-1.5
330,과대,-1.5
331,과도,-1.5
332,과로,-1.5
333,과식,-1.5
334,과음,-3
3714,과일,1.5
335,과장,-3
336,과체중,-3
337,과하,-1.5
338,관계,-1.5
339,관계없,-1.5
340,관광,1.5
341,관능적,1.5
342,관람객,-1.5
343,관심,-1.5
345,관절,-1.5
344,관절염,-3
346,관철,-1.5
347,괄시,-3
348,광견병,-1.5
349,광명,3
350,괘씸,-1.5
351,괜찮,1.5
,괜찮은,1.5
352,괜하,-1.5
353,괜히,-1.5
355,괴로움,-3
356,괴로워하,-3
354,괴롭,-3
357,괴롭히,-3
358,괴멸,-3
359,괴물,-1.5
360,괴사,-3
361,괴상,-3
363,괴이,-3
362,괴이쩍,-1.5
364,굉장,3
365,교관,0
366,교도소,-1.5
367,교리,3
368,교만,-1.5
369,교모,-1.5
370,교묘,1.5
371,교묘히,-1.5
372,교양,1.5
373,교육적,1.5
374,교제,-1.5
375,교통,1.5
376,교화,1.5
377,교활,-1.5
378,교훈,1.5
379,구경,1.5
380,구김살,1.5
381,구두쇠,-1.5
382,구리,-1.5
383,구박,-1.5
384,구성지,1.5
385,구속,-1.5
386,구슬,-1.5
387,구슬프,-1.5
388,구슬피,-1.5
389,구역,-3
390,구역질,-3
391,구원,1.5
392,구제,1.5
393,구차,-3
394,구토,-1.5
395,국내,-1.5
396,군살,-1.5
397,군색,-1.5
398,군소리,1.5
399,굳세,3
400,굳어지,-1.5
401,굴복,-1.5
402,굴욕,-3
403,굴욕감,-3
404,굴욕적,-3
405,굶주리,-1.5
406,굼뜨,-1.5
407,굽신거리,-3
408,굽신굽신,-3
409,굽신대,-3
410,굽신하,-3
411,굽실,-3
412,굽실거리,-3
413,굽실대,-3
